iter	RMSE
0	0.2171639093
1	0.215249262
2	0.2133849052
3	0.2114773358
4	0.2096807937
5	0.207877766
6	0.2060449322
7	0.2042529771
8	0.2024575579
9	0.2007329575
10	0.1989815739
11	0.1972655954
12	0.1955226185
13	0.1938300654
14	0.1921150206
15	0.1904125881
16	0.1887355844
17	0.187126011
18	0.1855248289
19	0.1839540162
20	0.1823764988
21	0.1808237345
22	0.1792570951
23	0.1777165251
24	0.1762344387
25	0.174750988
26	0.1732324917
27	0.1717188454
28	0.1702532715
29	0.1688339278
30	0.1673892451
31	0.1659986312
32	0.164630602
33	0.1632504365
34	0.1618744266
35	0.1605142706
36	0.1591546653
37	0.1578329929
38	0.1564999141
39	0.1552212348
40	0.1539145747
41	0.152576488
42	0.151306669
43	0.1500149084
44	0.1487454471
45	0.1474728917
46	0.1462347471
47	0.1449989408
48	0.1438437606
49	0.1426125701
50	0.1414328922
51	0.1402409095
52	0.1390645382
53	0.137888068
54	0.1367670512
55	0.1356409063
56	0.1345228598
57	0.1334016891
58	0.1322921332
59	0.1311909511
60	0.1300935866
61	0.1290592866
62	0.1279954065
63	0.1269435406
64	0.1259607632
65	0.1249248636
66	0.1239125793
67	0.1229248056
68	0.1218978208
69	0.1209065258
70	0.1199311602
71	0.1189359828
72	0.1179414563
73	0.1169929433
74	0.1160461998
75	0.1151018085
76	0.1141624564
77	0.1132252784
78	0.1123001613
79	0.1113583521
80	0.1104292911
81	0.1095408398
82	0.1086699357
83	0.1077827874
84	0.1068915998
85	0.1060189811
86	0.1051620585
87	0.1043415562
88	0.1034965811
89	0.1026611775
90	0.1018545354
91	0.1010102905
92	0.1002071667
93	0.09940396111
94	0.0985975648
95	0.09783713854
96	0.09709191641
97	0.09634820137
98	0.09558501146
99	0.09485974686
100	0.09410046252
101	0.09336794784
102	0.09261405816
103	0.09187461686
104	0.09114286764
105	0.0904343012
106	0.08973162429
107	0.08904685592
108	0.08837939143
109	0.08766788761
110	0.08700453217
111	0.08633189161
112	0.08565943946
113	0.08499229641
114	0.08434912824
115	0.08373606921
116	0.08308089454
117	0.08245330918
118	0.08183719929
119	0.081228757
120	0.08061752653
121	0.08001857326
122	0.07940022198
123	0.07879982154
124	0.07821607609
125	0.07762496842
126	0.07703652469
127	0.07644477953
128	0.07586892365
129	0.07532048339
130	0.07474785161
131	0.07421835128
132	0.07367649344
133	0.07314781655
134	0.0726258654
135	0.07207645558
136	0.0715377211
137	0.07101290943
138	0.07050384192
139	0.06999352646
140	0.0695058689
141	0.06902143261
142	0.06852267949
143	0.06803126539
144	0.06752666438
145	0.06704214855
146	0.06655323479
147	0.0660753124
148	0.06560012692
149	0.06511906385
150	0.06465447423
151	0.06419000496
152	0.06373838554
153	0.06328373236
154	0.06287423513
155	0.0624314297
156	0.06198112155
157	0.06153715036
158	0.06109726248
159	0.0606653372
160	0.06025573206
161	0.05983937252
162	0.05944294399
163	0.0590490333
164	0.05864152463
165	0.05823565359
166	0.05784519875
167	0.05745322471
168	0.05705359178
169	0.0566755492
170	0.05629252704
171	0.05591185079
172	0.05553567786
173	0.05515846927
174	0.05476927134
175	0.0544094787
176	0.05405503283
177	0.05368881424
178	0.05333282593
179	0.05298151657
180	0.05263232785
181	0.05227768369
182	0.05192780688
183	0.05159429896
184	0.05125608931
185	0.05092751693
186	0.05063081627
187	0.05030298058
188	0.04999660269
189	0.04968065276
190	0.04935005542
191	0.04902984276
192	0.04872758118
193	0.04842548974
194	0.04812294354
195	0.04783925338
196	0.04755639901
197	0.0472551787
198	0.04695242637
199	0.04666289077
200	0.04637867967
201	0.04609263003
202	0.04580393511
203	0.04553183363
204	0.04526756049
205	0.04498499296
206	0.04470846763
207	0.04443734484
208	0.04416568648
209	0.04390514361
210	0.04364033885
211	0.04338564371
212	0.04313185942
213	0.04288315545
214	0.04264245644
215	0.0424020073
216	0.04214585752
217	0.04190206481
218	0.04165864551
219	0.04141945187
220	0.04117904887
221	0.04093492576
222	0.04069102703
223	0.04047271716
224	0.04024461572
225	0.04002250704
226	0.03980397493
227	0.03958734871
228	0.03936916834
229	0.03915726772
230	0.03894353806
231	0.03872166707
232	0.03850665061
233	0.03829628719
234	0.03808764061
235	0.03787010334
236	0.03767700214
237	0.0374807794
238	0.03727604488
239	0.03706893342
240	0.03688009092
241	0.03669249744
242	0.03649962718
243	0.03631060895
244	0.03612600032
245	0.03593757451
246	0.03576328334
247	0.03558184792
248	0.03541579252
249	0.03523447922
250	0.03504915924
251	0.03487584118
252	0.03470346941
253	0.03452611444
254	0.03434996468
255	0.03418276885
256	0.03400540583
257	0.03384412264
258	0.03367290068
259	0.03351680553
260	0.03334736155
261	0.03318365254
262	0.03302506382
263	0.03287203347
264	0.03272662871
265	0.03258033671
266	0.03242890199
267	0.03227965968
268	0.03212765048
269	0.0319792759
270	0.03182364711
271	0.03167533186
272	0.03153865549
273	0.03139133339
274	0.03124891142
275	0.03110585244
276	0.03094600005
277	0.03080782316
278	0.03067530439
279	0.03054975864
280	0.03041105419
281	0.03027557721
282	0.03014906486
283	0.03001099453
284	0.02987714698
285	0.02975208326
286	0.02962493177
287	0.0294830836
288	0.02936111889
289	0.02923050622
290	0.02911320288
291	0.02899329389
292	0.0288694718
293	0.02874437076
294	0.02862142019
295	0.02850096386
296	0.02838076325
297	0.0282671785
298	0.02815991979
299	0.02804932958
300	0.02794256591
301	0.02782604235
302	0.027716801
303	0.02759910749
304	0.02749115931
305	0.02736475162
306	0.02726286481
307	0.02714796795
308	0.02704542592
309	0.02692926105
310	0.02683383886
311	0.02673662888
312	0.02662965337
313	0.02652995317
314	0.02642073075
315	0.0263215459
316	0.02622203172
317	0.0261199119
318	0.026020672
319	0.02592122912
320	0.02582356528
321	0.02572413748
322	0.02562689122
323	0.02552609821
324	0.02543669144
325	0.02534596045
326	0.02525787891
327	0.02517182557
328	0.0250836002
329	0.02499437468
330	0.0249057457
331	0.02481679105
332	0.02472837496
333	0.02463978076
334	0.02455360578
335	0.02446225191
336	0.02437883144
337	0.02430412109
338	0.02421913478
339	0.0241292453
340	0.024041148
341	0.02395524354
342	0.02387374227
343	0.02380252999
344	0.02372073762
345	0.02364468872
346	0.02356261955
347	0.02348284005
348	0.02339929887
349	0.02331802144
350	0.02324099328
351	0.0231622529
352	0.02308992034
353	0.02301391268
354	0.02293668913
355	0.02286272854
356	0.02278132775
357	0.02270764059
358	0.02264141895
359	0.02256405026
360	0.02249951612
361	0.02242365438
362	0.02235449567
363	0.02228731133
364	0.02221544475
365	0.02215024726
366	0.02207492635
367	0.02200886996
368	0.02193487502
369	0.02186402117
370	0.02179344373
371	0.02172709827
372	0.02165984985
373	0.021591227
374	0.02152093877
375	0.02145948486
376	0.02139638139
377	0.02133089182
378	0.02126775917
379	0.02121039664
380	0.02114284763
381	0.02108166081
382	0.02102599221
383	0.02096016596
384	0.0208992785
